speaker_id,pair_type,clone_id,real_id,impostor_speaker_id,system_id,prompt_style_id,sentence_id,temperature,top_p,top_k,wavlm_sim,mfcc_sim,pitch_sim,wer,clone_path,real_path,timestamp
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.7517796754837036,0.9778152760045413,0.6294574293178805,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_01.wav,2025-10-25T20:40:55.402163
211,CI,C3,,impostors,S1,P1,3,1.0,0.95,50,0.8737084269523621,0.9932249398657804,0.5825543152187126,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_02.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_02.wav,2025-10-25T20:40:55.402441
211,CR,C4,R1,,S1,P1,4,1.0,0.95,50,0.8060581088066101,0.9917565757887732,0.8321608554508828,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_01.wav,2025-10-25T20:40:55.856211
211,CR,C4,R2,,S1,P1,4,1.0,0.95,50,0.8064289093017578,0.9879502118421242,0.8588315377834495,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_06.wav,2025-10-25T20:40:55.856556
211,CR,C4,R3,,S1,P1,4,1.0,0.95,50,0.8311483263969421,0.9900830472856806,0.8881868663188337,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_08.wav,2025-10-25T20:40:55.856832
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.7684231996536255,0.976311605736065,0.6595170395410208,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_03.wav,2025-10-25T20:40:55.857119
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.8118177056312561,0.9807667694609957,0.4808027003823818,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_00.wav,2025-10-25T20:40:55.857395
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.7890308499336243,0.975012319875341,0.6372528072351873,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_04.wav,2025-10-25T20:40:55.857655
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.7536682486534119,0.9816310948709684,0.47840719034553825,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_02.wav,2025-10-25T20:40:55.857916
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.7834022641181946,0.9806139560817649,0.6845861821402099,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/730_imp_05.wav,2025-10-25T20:40:55.858899
211,CI,C4,,impostors,S1,P1,4,1.0,0.95,50,0.6595031023025513,0.9596758654501764,0.5169251215468801,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_03.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/impostors/4014_imp_01.wav,2025-10-25T20:40:55.859174
211,CR,C5,R1,,S1,P1,5,1.0,0.95,50,0.8774104118347168,0.9981267374513598,0.9794236885032467,,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/clones/clone_04.wav,/Users/mudi/Documents/boson_ha/boson_hackathon/experiments/outputs/211/reals/real_01.wav,2025-10-25T20:40:56.285911
